Using model_4
        name    time (s)    af2_lddt      rmsd_af2_des   contig_rmsd_af2
  sh3_r1_183       71.17       84.22              2.64              0.63
  sh3_r1_152        4.12       77.11              1.60              0.99
   sh3_r1_91        3.88       70.48              4.59              0.47
   sh3_r1_40        4.35       71.85              1.22              0.59
   sh3_r1_96        3.98       93.63              1.05              0.68
  sh3_r1_129        3.92       77.97              1.88              0.44
   sh3_r1_47        3.87       76.39              1.48              0.79
  sh3_r1_184        3.97       68.19              2.17              1.04
  sh3_r1_155        3.98       69.92              2.91              0.33
   sh3_r1_98        3.94       63.50              2.26              1.01
  sh3_r1_127        3.82       73.71              1.71              0.76
   sh3_r1_49        4.14       69.69              2.42              0.70
   sh3_r1_35        3.48       73.62              1.53              0.62
   sh3_r1_32        3.72       72.11              2.05              0.77
  sh3_r1_120        4.01       82.92              1.49              0.56
  sh3_r1_169        3.50       71.10              3.04              0.62
  sh3_r1_115        3.38       77.18              2.01              0.60
  sh3_r1_112        3.80       81.83              0.72              0.47
   sh3_r1_72        3.95       70.84              1.43              0.49
  sh3_r1_160        3.70       73.10              2.10              0.88
  sh3_r1_167        4.58       75.88              0.99              0.69
   sh3_r1_75        3.87       75.83              2.59              0.71
   sh3_r1_18        3.43       78.63              1.21              0.51
  sh3_r1_176        3.40       81.60              0.77              0.71
   sh3_r1_64        3.84       77.01              1.06              0.70
   sh3_r1_63        3.92       69.06              4.71              0.84
  sh3_r1_171        3.76       64.86             11.39              0.76
  sh3_r1_103        3.78       74.71              2.14              1.13
   sh3_r1_11        3.82       69.60              3.83              0.50
   sh3_r1_16        4.57       78.10              1.76              0.51
  sh3_r1_178        3.85       80.64              1.28              0.62
  sh3_r1_104        3.88       79.93              1.73              1.42
   sh3_r1_23        3.38       73.72              4.58              1.16
  sh3_r1_131        3.33       71.63              3.04              0.72
  sh3_r1_136        3.41       69.02              2.46              0.49
   sh3_r1_58        3.28       79.80              1.31              0.64
   sh3_r1_89        3.88       74.22              5.14              1.07
   sh3_r1_24        4.06       73.96              1.53              0.43
  sh3_r1_138        3.50       74.92              1.61              0.65
   sh3_r1_56        3.94       84.24              2.14              0.64
   sh3_r1_87        3.85       81.39              1.88              0.54
    sh3_r1_3        3.83       64.62              4.98              1.20
  sh3_r1_144        3.35       73.13              6.90              0.53
  sh3_r1_195        3.34       74.05              2.43              0.51
  sh3_r1_143        3.43       76.44              2.43              0.77
  sh3_r1_192        3.29       86.16              2.68              0.54
   sh3_r1_51        4.48       74.84              1.62              1.18
   sh3_r1_80        3.36       72.41              1.73              1.39
    sh3_r1_4        3.40       84.45              2.39              0.83
  sh3_r1_166        3.46       73.88              1.87              0.84
   sh3_r1_74        3.43       83.70              0.67              0.68
   sh3_r1_73        3.32       65.79              5.60              0.63
  sh3_r1_161        3.87       42.20              7.26              0.63
  sh3_r1_113        3.40       78.96              1.05              0.52
  sh3_r1_168        3.28       83.23              1.75              0.90
  sh3_r1_114        4.60       71.02              2.55              0.57
   sh3_r1_33        3.48       80.82              1.86              0.57
  sh3_r1_121        3.42       68.99              2.65              0.81
   sh3_r1_99        3.80       79.56              1.01              0.96
  sh3_r1_126        3.34       83.08              1.62              0.60
   sh3_r1_48        3.37       78.35              1.17              0.41
   sh3_r1_34        3.31       75.46              3.01              1.00
   sh3_r1_97        3.38       76.52              1.22              0.38
  sh3_r1_128        4.64       73.12              1.33              0.43
   sh3_r1_46        3.44       68.37              2.95              0.58
  sh3_r1_185        3.49       62.93              3.22              0.92
  sh3_r1_154        3.37       78.12              3.07              0.58
  sh3_r1_182        3.39       75.71              1.52              0.82
  sh3_r1_153        3.40       78.34              2.05              1.14
   sh3_r1_90        3.89       70.78              2.44              0.50
   sh3_r1_41        3.78       81.16              1.55              0.74
  sh3_r1_142        3.90       64.78              5.57              0.53
  sh3_r1_193        4.11       79.32              1.09              0.86
   sh3_r1_50        3.40       74.01              1.41              0.88
   sh3_r1_81        3.53       68.37              1.93              0.56
    sh3_r1_5        3.43       77.81              2.88              0.48
  sh3_r1_139        3.38       65.62              6.11              1.01
   sh3_r1_57        3.95       76.56              1.79              0.57
   sh3_r1_86        3.42       79.70              2.14              0.67
    sh3_r1_2        3.40       69.32             10.38              0.91
  sh3_r1_145        3.41       80.34              1.13              0.63
  sh3_r1_194        4.04       84.20              0.99              0.46
  sh3_r1_137        3.35       66.05              5.54              2.29
   sh3_r1_59        3.49       64.39              4.39              1.00
   sh3_r1_88        3.38       69.67             11.26              0.81
   sh3_r1_25        3.38       84.51              1.06              0.45
   sh3_r1_22        3.43       81.91              2.19              0.42
  sh3_r1_130        3.37       74.28              2.15              0.56
   sh3_r1_17        3.38       78.36              1.93              0.49
  sh3_r1_179        4.59       73.50              1.12              0.36
  sh3_r1_105        3.48       78.87              1.97              0.72
  sh3_r1_102        3.93       73.09              2.29              0.77
   sh3_r1_10        3.43       70.62              1.68              0.58
   sh3_r1_62        3.43       68.01              1.49              0.65
  sh3_r1_170        3.41       76.56              1.90              0.55
   sh3_r1_19        3.36       84.80              1.97              0.91
  sh3_r1_177        3.37       76.03              1.99              1.58
   sh3_r1_65        3.37       69.33              1.75              1.64
   sh3_r1_54        4.12       75.74              2.88              0.58
   sh3_r1_85        3.46       85.73              0.80              0.41
    sh3_r1_1        3.93       81.14              1.47              0.71
   sh3_r1_28        3.91       71.86              1.59              0.69
  sh3_r1_146        3.37       85.67              1.06              0.47
  sh3_r1_197        3.30       73.85              1.30              0.51
  sh3_r1_141        3.41       60.51              7.70              0.76
  sh3_r1_190        3.37       64.66              2.00              0.52
   sh3_r1_53        3.43       75.82              2.37              0.75
   sh3_r1_82        4.17       80.46              1.37              1.06
    sh3_r1_6        3.43       76.95              2.03              0.68
   sh3_r1_21        3.44       68.70              4.39              1.06
  sh3_r1_133        3.45       72.12              3.37              0.78
    sh3_r1_8        3.42       69.78              4.67              1.18
  sh3_r1_134        3.75       66.87              1.54              0.68
   sh3_r1_26        3.89       66.77              3.37              0.61
  sh3_r1_148        3.36       79.78              2.15              0.80
  sh3_r1_199        4.10       89.49              1.50              0.81
  sh3_r1_101        3.42       66.79              4.23              0.64
   sh3_r1_13        3.46       73.59              1.64              0.48
   sh3_r1_14        3.49       67.52              2.72              0.60
  sh3_r1_106        3.48       74.25              2.96              0.40
   sh3_r1_68        3.39       70.11              2.27              1.11
  sh3_r1_174        3.52       68.11              2.78              0.87
  sh3_r1_108        3.52       71.02              2.53              0.64
   sh3_r1_66        3.43       88.25              0.56              0.53
   sh3_r1_61        4.23       76.80              1.68              0.60
  sh3_r1_173        3.56       77.77              2.20              0.93
   sh3_r1_70        3.49       66.03              2.71              1.15
  sh3_r1_162        3.55       58.14              2.16              0.75
  sh3_r1_165        3.47       66.30              1.87              1.02
  sh3_r1_119        3.43       64.88              5.12              0.97
   sh3_r1_77        3.37       75.07              2.42              0.87
  sh3_r1_117        3.50       75.56              1.21              1.23
   sh3_r1_79        3.45       70.81              2.52              0.81
  sh3_r1_110        4.38       86.05              1.15              0.31
  sh3_r1_125        3.43       70.08              2.20              0.44
  sh3_r1_188        4.04       74.16              1.07              0.56
   sh3_r1_37        3.56       74.86              7.20              1.18
  sh3_r1_159        3.50       68.99              1.44              0.43
   sh3_r1_30        3.59       78.31              1.60              0.90
  sh3_r1_122        3.48       68.37              2.14              0.62
  sh3_r1_181        3.44       74.61              2.22              0.41
  sh3_r1_150        4.15       73.29              2.04              0.69
   sh3_r1_93        3.43       74.89              2.48              0.46
   sh3_r1_42        3.40       73.39              1.28              0.44
   sh3_r1_94        3.46       75.34              1.43              0.47
   sh3_r1_45        3.47       71.61              3.11              0.54
  sh3_r1_186        3.47       69.03              2.83              0.58
   sh3_r1_39        3.46       78.76              1.53              0.91
  sh3_r1_157        3.36       81.02              2.79              0.33
   sh3_r1_60        3.34       64.69             10.43              1.00
  sh3_r1_172        4.18       76.07              2.57              1.80
  sh3_r1_175        3.54       76.65              1.63              1.01
  sh3_r1_109        3.41       69.58              3.46              1.13
   sh3_r1_67        3.54       67.85              2.64              0.67
   sh3_r1_15        3.49       76.15              2.02              0.40
  sh3_r1_107        3.44       73.52              1.45              0.85
   sh3_r1_69        3.42       89.17              0.80              0.43
  sh3_r1_100        3.40       78.46              2.53              0.76
   sh3_r1_12        4.31       74.63              1.23              0.69
  sh3_r1_135        3.60       62.54              3.15              0.62
   sh3_r1_27        3.42       72.95              1.44              0.80
  sh3_r1_149        3.41       66.04              2.17              0.71
  sh3_r1_198        3.34       74.94              2.18              1.57
   sh3_r1_20        3.46       67.23              5.76              1.03
  sh3_r1_132        3.46       64.65              3.08              0.92
    sh3_r1_9        3.47       70.32              2.03              0.56
  sh3_r1_140        3.39       77.61              2.00              0.62
  sh3_r1_191        4.15       74.24              2.10              0.80
   sh3_r1_52        3.42       73.64              1.19              0.68
   sh3_r1_83        3.42       73.22              2.39              0.70
    sh3_r1_7        3.41       79.46              3.01              2.28
   sh3_r1_55        3.47       75.46              2.32              1.27
   sh3_r1_84        3.36       77.10              2.20              0.92
    sh3_r1_0        3.39       70.39              1.48              0.56
   sh3_r1_29        3.45       74.18              1.30              1.00
  sh3_r1_147        3.33       74.50              2.02              0.59
  sh3_r1_196        4.13       67.41              5.32              0.99
   sh3_r1_95        3.50       79.86              1.22              0.52
   sh3_r1_44        3.48       79.85              2.92              0.71
  sh3_r1_187        3.46       73.07              2.26              0.69
   sh3_r1_38        3.39       81.59              1.15              0.65
  sh3_r1_156        3.41       76.32              1.60              0.39
  sh3_r1_180        3.35       76.94              2.40              0.94
  sh3_r1_151        3.42       64.24              2.67              0.70
   sh3_r1_92        4.22       76.36              1.70              0.65
   sh3_r1_43        3.46       81.49              1.01              0.48
   sh3_r1_31        3.49       71.34              1.63              1.10
  sh3_r1_123        3.45       68.63              2.72              1.22
  sh3_r1_124        3.41       75.02              1.87              0.70
  sh3_r1_189        3.43       80.99              1.97              0.68
   sh3_r1_36        3.46       62.84              6.05              0.75
  sh3_r1_158        3.52       78.24              1.75              0.65
  sh3_r1_111        3.48       73.88              1.78              0.83
  sh3_r1_116        4.23       77.88              1.57              0.52
   sh3_r1_78        3.53       85.51              1.07              0.35
  sh3_r1_164        3.47       77.24              1.38              0.62
  sh3_r1_118        3.38       75.36              2.43              0.45
   sh3_r1_76        3.48       77.54              1.62              0.67
   sh3_r1_71        3.39       84.47             12.32              0.68
  sh3_r1_163        3.50       79.15              5.44              1.34
Outputting computed metrics to ./af2_metrics.csv
